user_id,product_id,rating
2,1003,1.17
2,1008,1.87
2,1016,1.87
2,1027,1.52
2,1031,2.74
2,1033,1.87
2,1047,1.17
2,1048,1.52
2,1053,1.17
2,1055,1.17
2,1063,1.87
2,1064,1.17
2,1067,1.52
2,1074,1.17
2,1075,1.17
2,1077,1.17
2,1085,1.17
2,1091,2.74
2,1093,1.17
2,1095,1.17
2,1120,1.17
2,1129,1.17
2,1130,1.17
2,1143,2.74
2,1160,1.17
2,1168,1.17
2,1174,1.17
2,1177,1.17
2,1178,2.74
2,1179,1.17
2,1184,1.52
2,1194,1.87
2,1202,1.52
2,1204,1.17
2,1206,1.17
2,1218,1.17
2,1227,1.17
2,1232,1.17
2,1233,2.74
2,1245,1.17
2,1251,1.17
2,1252,1.52
2,1255,2.74
2,1261,1.52
2,1264,2.04
2,1267,1.17
2,1270,1.52
2,1271,1.17
2,1272,1.17
2,1281,1.35
2,1285,1.17
2,1298,1.17
2,1299,1.17
2,1302,1.87
2,1303,1.52
2,1307,1.87
2,1327,1.52
2,1346,1.17
2,1348,1.87
2,1353,1.52
2,1370,1.52
2,1372,1.17
2,1378,2.74
2,1380,1.17
2,1385,2.74
2,1408,1.17
2,1410,3.61
2,1418,1.52
2,1422,1.87
2,1424,1.17
2,1426,1.17
2,1429,1.17
2,1431,2.39
2,1434,1.87
2,1436,1.52
2,1437,1.7
2,1440,1.17
2,1444,1.52
2,1451,1.35
2,1453,1.35
2,1456,2.91
2,1458,1.17
2,1461,2.91
2,1463,2.74
2,1468,1.52
2,1474,1.52
2,1478,1.52
2,1482,1.17
2,1487,1.87
2,1490,2.74
3,1012,2.04
3,1026,1.17
3,1027,1.17
3,1029,1.17
3,1030,1.87
3,1034,1.87
3,1038,1.17
3,1042,1.17
3,1044,2.74
3,1050,1.87
3,1061,2.74
3,1069,1.87
3,1073,1.52
3,1078,2.74
3,1079,1.17
3,1086,1.52
3,1091,1.52
3,1101,1.52
3,1104,2.74
3,1115,1.17
3,1122,1.17
3,1129,1.87
3,1130,1.17
3,1143,1.17
3,1156,1.87
3,1167,1.17
3,1171,1.87
3,1176,1.17
3,1190,1.87
3,1196,2.74
3,1214,1.52
3,1243,1.17
3,1244,1.52
3,1245,1.7
3,1246,1.52
3,1251,2.74
3,1252,2.74
3,1257,1.17
3,1260,2.04
3,1262,1.17
3,1263,1.52
3,1276,1.17
3,1278,3.26
3,1281,1.17
3,1285,1.52
3,1289,1.17
3,1294,1.17
3,1298,1.17
3,1307,1.17
3,1308,1.17
3,1311,3.61
3,1312,1.87
3,1320,1.17
3,1327,1.17
3,1333,1.17
3,1337,1.17
3,1343,2.74
3,1365,1.52
3,1373,1.87
3,1391,1.17
3,1393,1.52
3,1394,1.17
3,1396,1.17
3,1402,2.74
3,1404,1.52
3,1429,1.17
3,1432,1.17
3,1434,1.52
3,1441,1.17
3,1442,1.17
3,1444,1.17
3,1446,1.17
3,1447,1.52
3,1452,1.87
3,1456,1.17
3,1461,1.52
3,1463,2.74
3,1470,1.52
3,1475,1.17
3,1481,3.61
3,1483,1.17
3,1486,1.17
3,1489,2.74
3,1492,1.17
3,1499,1.17
4,1004,1.17
4,1012,1.52
4,1016,1.7
4,1024,1.17
4,1027,1.52
4,1043,2.04
4,1048,1.17
4,1062,1.52
4,1068,1.17
4,1072,1.87
4,1073,1.17
4,1078,1.87
4,1079,2.74
4,1080,1.17
4,1087,1.17
4,1105,1.17
4,1110,1.87
4,1118,2.74
4,1119,1.17
4,1125,1.52
4,1127,1.52
4,1131,1.17
4,1132,1.52
4,1143,1.87
4,1144,1.17
4,1146,1.17
4,1176,1.17
4,1194,1.52
4,1212,1.17
4,1216,1.17
4,1227,1.7
4,1232,1.17
4,1237,2.74
4,1244,1.52
4,1250,1.17
4,1260,1.17
4,1267,2.74
4,1274,1.17
4,1279,2.74
4,1280,1.87
4,1292,1.17
4,1295,1.17
4,1297,1.17
4,1310,1.52
4,1311,1.35
4,1330,1.17
4,1332,1.87
4,1335,1.87
4,1338,1.7
4,1354,1.17
4,1370,1.87
4,1382,2.04
4,1385,1.87
4,1388,1.17
4,1395,1.17
4,1400,1.17
4,1401,1.17
4,1418,2.04
4,1421,1.52
4,1436,4.48
4,1437,1.17
4,1441,1.17
4,1451,1.17
4,1460,2.74
4,1463,1.52
4,1469,2.74
4,1484,1.87
4,1485,1.87
4,1487,1.17
4,1491,1.17
4,1492,2.74
4,1497,2.74
5,1004,2.74
5,1007,1.87
5,1013,1.17
5,1030,1.52
5,1047,2.74
5,1063,1.17
5,1064,2.04
5,1065,1.17
5,1070,1.17
5,1072,1.52
5,1073,1.87
5,1080,1.17
5,1081,1.87
5,1087,1.52
5,1088,1.87
5,1115,1.17
5,1116,1.87
5,1120,2.74
5,1134,2.74
5,1135,1.87
5,1140,2.74
5,1150,2.74
5,1160,1.52
5,1162,1.87
5,1163,1.52
5,1164,1.17
5,1165,1.87
5,1166,1.7
5,1170,1.17
5,1172,1.17
5,1173,1.87
5,1184,1.87
5,1201,1.87
5,1205,1.17
5,1208,1.17
5,1212,2.74
5,1214,1.52
5,1216,1.17
5,1236,1.17
5,1239,1.17
5,1240,1.52
5,1242,1.17
5,1257,1.17
5,1262,1.87
5,1263,1.87
5,1267,2.74
5,1281,1.87
5,1289,1.52
5,1290,1.52
5,1295,1.17
5,1302,1.52
5,1313,1.87
5,1322,1.17
5,1323,1.17
5,1332,1.17
5,1341,1.87
5,1345,1.17
5,1350,1.87
5,1354,1.17
5,1355,1.52
5,1356,2.74
5,1358,1.52
5,1362,1.17
5,1394,1.52
5,1398,1.17
5,1402,1.17
5,1406,2.74
5,1413,2.74
5,1415,2.39
5,1419,1.87
5,1440,1.87
5,1442,1.17
5,1443,1.17
5,1459,1.17
5,1462,1.17
5,1470,1.87
5,1472,1.17
5,1474,1.87
5,1476,1.17
5,1483,1.17
5,1486,2.74
5,1495,1.17
5,1496,1.87
5,1497,1.52
6,1005,1.87
6,1008,1.17
6,1013,1.35
6,1014,1.17
6,1016,1.87
6,1018,1.17
6,1024,2.74
6,1025,1.17
6,1033,2.74
6,1035,1.17
6,1036,1.52
6,1039,1.17
6,1041,1.52
6,1056,2.74
6,1060,1.17
6,1062,2.74
6,1070,1.17
6,1073,1.52
6,1078,1.17
6,1087,1.52
6,1099,1.52
6,1101,1.87
6,1102,2.74
6,1108,1.17
6,1119,1.52
6,1126,2.04
6,1138,1.87
6,1141,2.74
6,1147,1.52
6,1164,2.74
6,1172,1.87
6,1174,1.17
6,1180,2.39
6,1181,1.17
6,1184,1.52
6,1185,1.52
6,1186,1.87
6,1190,1.17
6,1192,1.17
6,1198,1.17
6,1210,2.74
6,1214,1.17
6,1219,1.52
6,1225,2.91
